time,open,high,low,close,MA,Smoothing Line,VWAP,VWAPUB,VWAPLB,ROC50,ROC100,ROC200,ROC400,BOLLINGERMID,BOLLINGERUpper,BOLLINGERLower
1567958400,10000,10357.53,10000,10340.12,NaN,NaN,10232.55,10232.55,10232.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1567972800,10340.12,10412.65,10324.77,10391.63,NaN,NaN,10354.44481,10406.1181,10302.77151,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1567987200,10316.62,10316.68,10267.37,10297.89,NaN,NaN,10342.28475,10394.44344,10290.12606,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568001600,10297.89,10316.34,10092.71,10149.47,NaN,NaN,10278.68072,10365.2599,10192.10154,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568016000,10149.47,10475.54,10077.22,10414.6,NaN,NaN,10290.66743,10366.98432,10214.35055,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568030400,10411.7,10411.7,10302.69,10314.26,NaN,NaN,10304.93383,10374.03062,10235.83703,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568044800,10314.26,10333.55,10183.31,10308.87,NaN,NaN,10297.8057,10359.36022,10236.25118,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568059200,10307.8,10420.65,10228.28,10307,NaN,NaN,10299.68044,10358.70265,10240.65824,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568073600,10307,10382.97,10266.61,10307.25,NaN,NaN,10301.21158,10358.0787,10244.34447,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568088000,10309.17,10329.24,10226.81,10272.46,NaN,NaN,10299.19389,10354.14623,10244.24155,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568102400,10271.93,10290.01,10206.87,10254.56,NaN,NaN,10296.15456,10350.65384,10241.65527,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568116800,10252.7,10270.58,10167.91,10179.1,NaN,NaN,10290.42618,10347.57636,10233.27601,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568131200,10172.13,10237.41,9940.87,10026.56,NaN,NaN,10278.12144,10353.40274,10202.84013,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568145600,10021.49,10127.22,9991.73,10102.02,NaN,NaN,10267.04079,10353.66046,10180.42112,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568160000,10094.27,10293.11,10051,10093.88,NaN,NaN,10261.16097,10349.56713,10172.7548,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568174400,10091.53,10097.65,9884.31,10067.46,NaN,NaN,10249.52385,10350.30074,10148.74697,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568188800,10068.41,10138.01,9988.69,10070.53,NaN,NaN,10243.37117,10347.81666,10138.92567,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568203200,10062.34,10101.38,9973.15,9991.84,NaN,NaN,10230.99324,10344.50065,10117.48583,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568217600,9992.18,10123.29,9934.11,10077.6,NaN,NaN,10217.15652,10336.77061,10097.54243,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568232000,10073.64,10184.66,10064.11,10159.55,NaN,NaN,10211.54735,10328.76731,10094.3274,NaN,NaN,NaN,NaN,10206.3325,10457.52448,9955.140524
1568246400,10163.06,10205.46,10085.88,10113.43,NaN,NaN,10206.44248,10321.29103,10091.59394,NaN,NaN,NaN,NaN,10194.998,10441.43233,9948.563666
1568260800,10116.97,10129.19,10042.12,10078.96,NaN,NaN,10199.29847,10314.41587,10084.18107,NaN,NaN,NaN,NaN,10179.3645,10413.2713,9945.457701
1568275200,10079.76,10187.9,10076.95,10170.93,NaN,NaN,10196.3002,10308.86029,10083.74011,NaN,NaN,NaN,NaN,10173.0165,10400.51545,9945.517551
1568289600,10170,10365.15,10170,10326.58,NaN,NaN,10201.07634,10312.50313,10089.64955,NaN,NaN,NaN,NaN,10181.872,10418.61565,9945.128353
1568304000,10327.25,10349.91,10239.42,10308.8,NaN,NaN,10206.33954,10316.97781,10095.70126,NaN,NaN,NaN,NaN,10176.582,10396.41215,9956.751845
1568318400,10301.82,10450.13,10300.85,10415.13,NaN,NaN,10215.264,10330.11018,10100.41783,NaN,NaN,NaN,NaN,10181.6255,10417.87438,9945.376621
1568332800,10414.96,10440.55,10329.3,10364.64,NaN,NaN,10222.49133,10339.6645,10105.31815,NaN,NaN,NaN,NaN,10184.414,10427.81297,9941.01503
1568347200,10364.82,10399.81,10267.89,10284.03,NaN,NaN,10228.20088,10344.00516,10112.39659,NaN,NaN,NaN,NaN,10183.2655,10424.54746,9941.983535
1568361600,10283.68,10327.14,10251.99,10306.52,NaN,NaN,10231.76285,10345.44601,10118.07969,NaN,NaN,NaN,NaN,10183.229,10424.43614,9942.02186
1568376000,10306.52,10344,10270,10296.57,NaN,NaN,10235.60235,10347.37516,10123.82955,NaN,NaN,NaN,NaN,10184.4345,10427.64608,9941.222918
1568390400,10294.81,10310.08,10186.34,10210.25,NaN,NaN,10235.60021,10344.7146,10126.48582,NaN,NaN,NaN,NaN,10182.219,10423.63567,9940.802326
1568404800,10210.25,10355.85,10153.51,10341.34,NaN,NaN,10237.57859,10344.84401,10130.31317,NaN,NaN,NaN,NaN,10190.331,10441.4898,9939.172195
1568419200,10343.01,10353.72,10267.08,10280.77,NaN,NaN,10240.30826,10346.0025,10134.61402,NaN,NaN,NaN,NaN,10203.0415,10445.33507,9960.747933
1568433600,10280.58,10330.61,10259.75,10316.67,NaN,NaN,10242.64242,10346.99896,10138.28588,NaN,NaN,NaN,NaN,10213.774,10456.23357,9971.314427
1568448000,10319.07,10348,10287.53,10291.93,NaN,NaN,10245.33754,10348.39572,10142.27936,NaN,NaN,NaN,NaN,10223.6765,10461.88054,9985.47246
1568462400,10292.13,10396.4,10222.77,10358,NaN,NaN,10249.18407,10351.19964,10147.1685,NaN,NaN,NaN,NaN,10238.2035,10471.92314,10004.48386
1568476800,10355.61,10398,10325.41,10363.8,NaN,NaN,10253.62667,10356.0086,10151.24473,NaN,NaN,NaN,NaN,10252.867,10479.355,10026.379
1568491200,10363.63,10419.97,10317.39,10332.25,NaN,NaN,10257.34671,10359.68019,10155.01323,NaN,NaN,NaN,NaN,10269.8875,10464.23599,10075.53901
1568505600,10333.47,10359.2,10024.81,10303.39,NaN,NaN,10256.31668,10356.90404,10155.72932,NaN,NaN,NaN,NaN,10281.177,10454.6449,10107.7091
1568520000,10302.49,10326.59,10273.21,10308.96,NaN,NaN,10257.72429,10357.10153,10158.34706,NaN,NaN,NaN,NaN,10288.6475,10453.15778,10124.13722
1568534400,10308.08,10320,10268.55,10296.63,NaN,NaN,10258.89992,10356.91714,10160.8827,NaN,NaN,NaN,NaN,10297.8075,10441.33631,10154.27869
1568548800,10296.54,10317.29,10252.28,10306.37,NaN,NaN,10260.0614,10356.53483,10163.58797,NaN,NaN,NaN,NaN,10309.178,10411.74108,10206.61492
1568563200,10306.79,10332.61,10280.14,10294.68,NaN,NaN,10261.44368,10356.6305,10166.25686,NaN,NaN,NaN,NaN,10315.3655,10396.51709,10234.21391
1568577600,10294.46,10316.45,10265.32,10302.22,NaN,NaN,10262.42563,10356.36371,10168.48755,NaN,NaN,NaN,NaN,10314.1475,10395.32049,10232.97451
1568592000,10302,10353.81,10300,10300.07,NaN,NaN,10264.07642,10357.0872,10171.06565,NaN,NaN,NaN,NaN,10313.711,10395.08795,10232.33405
1568606400,10300.24,10325,10279.69,10302.3,NaN,NaN,10265.07005,10357.06635,10173.07376,NaN,NaN,NaN,NaN,10308.0695,10374.88104,10241.25796
1568620800,10301.95,10316.71,10275.74,10282.74,NaN,NaN,10265.74101,10356.66822,10174.8138,NaN,NaN,NaN,NaN,10303.9745,10366.30409,10241.64491
1568635200,10282.03,10282.03,10115,10120.07,NaN,NaN,10263.13641,10354.09549,10172.17733,NaN,NaN,NaN,NaN,10295.7765,10397.26919,10194.28381
1568649600,10117.4,10160.39,10080.7,10124.17,NaN,NaN,10259.43636,10351.99157,10166.88115,NaN,NaN,NaN,NaN,10286.659,10412.4959,10160.8221
1568664000,10120.37,10329.38,10119.29,10249.27,NaN,NaN,10258.74077,10350.18578,10167.29575,NaN,NaN,NaN,NaN,10284.294,10411.07134,10157.51666
1568678400,10257.3,10261.36,10175.2,10224.09,NaN,NaN,10257.74579,10348.20881,10167.28277,-1.122133979,NaN,NaN,NaN,10284.986,10410.28157,10159.69043
1568692800,10225.02,10230.79,10165,10201.89,NaN,NaN,10256.15254,10345.88241,10166.42268,-1.825892569,NaN,NaN,NaN,10278.0135,10405.49036,10150.53664
1568707200,10202.92,10205.81,10136.77,10163,NaN,NaN,10253.86674,10343.51321,10164.22027,-1.309879985,NaN,NaN,NaN,10272.125,10409.07665,10135.17335
1568721600,10162.7,10244.27,10151.62,10201.14,NaN,NaN,10252.44743,10341.35416,10163.54071,0.509090622,NaN,NaN,NaN,10266.3485,10405.03233,10127.66467
1568736000,10201.09,10262.49,10200.39,10255.91,NaN,NaN,10252.13779,10339.98898,10164.2866,-1.523726307,NaN,NaN,NaN,10264.5475,10402.79055,10126.30445
1568750400,10256.52,10270.63,10171.37,10186.52,NaN,NaN,10251.11028,10338.14224,10164.07832,-1.238479542,NaN,NaN,NaN,10255.9735,10391.20689,10120.74011
1568764800,10183.87,10256.65,10183.87,10206.05,NaN,NaN,10250.31657,10336.53281,10164.10033,-0.997393507,NaN,NaN,NaN,10248.086,10375.41385,10120.75815
1568779200,10206.02,10228.41,10185.6,10198.54,NaN,NaN,10249.34924,10334.91249,10163.786,-1.052294557,NaN,NaN,NaN,10241.4005,10364.31446,10118.48654
1568793600,10199.39,10199.47,10150,10156.12,NaN,NaN,10247.77193,10333.23055,10162.31331,-1.466249485,NaN,NaN,NaN,10234.037,10358.84474,10109.22926
1568808000,10156.7,10210,10097.92,10172.91,NaN,NaN,10245.72265,10331.20496,10160.24033,-0.96909601,NaN,NaN,NaN,10227.2345,10349.77627,10104.69273
1568822400,10172.84,10212.25,10132.51,10171.17,NaN,NaN,10244.30883,10329.56961,10159.04805,-0.813199201,NaN,NaN,NaN,10220.9615,10341.47947,10100.44353
1568836800,10172.65,10211.9,10143,10155.16,NaN,NaN,10242.95826,10328.02148,10157.89503,-0.235187787,NaN,NaN,NaN,10213.401,10330.46074,10096.34126
1568851200,10154.7,10185.55,9530.02,9821.97,NaN,NaN,10232.81289,10337.58315,10128.04263,-2.040480484,NaN,NaN,NaN,10189.7655,10391.73289,9987.798112
1568865600,9820.96,9916,9780.75,9872.38,NaN,NaN,10224.92864,10341.77324,10108.08404,-2.273208725,NaN,NaN,NaN,10168.2735,10406.09846,9930.448544
1568880000,9872.71,9895.37,9820,9856.5,NaN,NaN,10217.45686,10344.20967,10090.70405,-2.351722034,NaN,NaN,NaN,10146.095,10411.72566,9880.464343
